Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1990s,1993,Creep,Radiohead,"art rock, alternative rock",92,3.98,True,0.579,0.743,187,35.83,47.02
1990s,1991,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,,71,7.53,False,-0.137,0.496,319,36.99,42.36
1990s,1998,Enjoy the Silence,Depeche Mode,"new wave, synthpop, darkwave",76,4.25,False,-0.216,0.814,142,40.14,33.39
1990s,1997,Freed From Desire,Gala,eurodance,78,3.56,False,0.485,0.585,264,11.74,74.23
1990s,2000,Better Off Alone,Alice Deejay,"eurodance, europop",80,3.58,False,0.5,0.5,111,9.91,30.99
1990s,1989,Wicked Game,Chris Isaak,,85,4.82,False,0.15,0.745,295,21.02,61.23
1990s,1999,Maria Maria (feat. The Product G&B),Santana,,73,4.37,False,0.234,0.389,405,35.31,92.76
1990s,1995,Alright - 2015 Remaster,Supergrass,britpop,72,3.02,False,0.0,0.0,0,0.0,0.0
1990s,1997,Kiss Me,Sixpence None The Richer,,85,3.48,False,-0.107,0.424,170,38.24,48.88
1990s,1997,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,,79,3.76,False,0.18,0.466,259,32.82,68.96
1990s,1996,Killing Me Softly With His Song,Fugees,east coast hip hop,80,4.98,True,0.048,0.464,473,30.44,95.02
1990s,1998,My Favourite Game,The Cardigans,swedish pop,73,3.67,False,-0.031,0.507,241,39.42,65.59
1990s,1998,The Boy Is Mine,Brandy,r&b,76,4.91,False,-0.097,0.617,797,21.33,162.22
1990s,1994,"Baby, I Love Your Way",Big Mountain,reggae,73,4.16,False,0.367,0.562,344,28.2,82.72
1990s,1995,Don't Speak,No Doubt,,81,4.39,False,0.462,0.6,339,26.84,77.17
1990s,1995,They Don't Care About Us,Michael Jackson,,80,4.74,False,-0.077,0.402,611,26.35,128.94
1990s,1993,"What Is Love - 7"" Mix",Haddaway,eurodance,82,4.51,False,0.141,0.554,325,18.15,72.12
1990s,1993,Fade Into You,Mazzy Star,"dream pop, shoegaze, slowcore",87,4.93,False,0.026,0.374,154,40.91,31.26
1990s,1999,Scar Tissue,Red Hot Chili Peppers,"funk rock, alternative rock, rock",86,3.6,False,-0.066,0.636,299,26.42,83.09
1990s,1990,There She Goes,The La's,"britpop, jangle pop",75,2.7,False,-0.156,0.289,127,27.56,46.98
1990s,1991,Come As You Are,Nirvana,"grunge, rock",84,3.65,False,0.0,0.3,149,27.52,40.84
1990s,1999,Let's Get Loud,Jennifer Lopez,,69,3.99,False,0.078,0.634,638,18.5,159.9
1990s,1997,Karma Police,Radiohead,"art rock, alternative rock",82,4.4,False,-0.158,0.308,146,39.04,33.17
1990s,1999,Otherside,Red Hot Chili Peppers,"funk rock, alternative rock, rock",85,4.26,False,-0.213,0.459,328,33.23,77.06
1990s,1997,Your Woman,White Town,,74,4.33,False,0.254,0.658,288,38.19,66.49
1990s,1995,Earth Song,Michael Jackson,,72,6.77,False,-0.027,0.584,434,31.8,64.15
1990s,1991,Smells Like Teen Spirit,Nirvana,"grunge, rock",85,5.03,False,-0.187,0.469,260,33.08,51.67
1990s,1994,Zombie - 2025 Remastered,The Cranberries,,84,5.09,False,0.0,0.0,0,0.0,0.0
1990s,1993,All That She Wants,Ace of Base,"eurodance, europop",80,3.52,False,0.187,0.281,277,27.08,78.69
1990s,1991,It Ain't Over 'Til It's Over,Lenny Kravitz,,81,4.04,False,0.35,0.425,284,21.48,70.23
1990s,1991,Losing My Religion,R.E.M.,"jangle pop, alternative rock, rock",86,4.47,False,0.05,0.33,294,30.61,65.72
